título,dificuldade,area,matriculados,plataforma,tipo
Forex Trading -  Learn to Trade Forex Like the Banks,All Levels,Business Finance,3223,Udemy,
Learn to Trade for Profit:Trading with Japanese Candlesticks,Beginner Level,Business Finance,16385,Udemy,
The Most Powerful Options Spread Trading Front Ratio Spread,All Levels,Business Finance,1487,Udemy,
What Finance Job is for You? Explanation of 14 Finance Roles,All Levels,Business Finance,2951,Udemy,
The Blueprint for Successful Stock Trading,All Levels,Business Finance,2697,Udemy,
Trading for Beginners - Intermediate Level,Beginner Level,Business Finance,3979,Udemy,
Start Trading Stocks Using Technical Analysis!,All Levels,Business Finance,3190,Udemy,
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Expert Level,Business Finance,1406,Udemy,
VPS for Forex Trading - Protect Your Forex Robots,All Levels,Business Finance,4252,Udemy,
Introduction to Accounting: The Language of Business,Beginner Level,Business Finance,11958,Udemy,
Basic Excel for Basic Bookkeeping and Accounting,Beginner Level,Business Finance,7743,Udemy,
"Using 'The Greeks To Understand Options""",All Levels,Business Finance,2134,Udemy,
Trading Options For Consistent Returns: Calendar Spreads,All Levels,Business Finance,1214,Udemy,
How to Create Your Personal Budget,All Levels,Business Finance,3870,Udemy,
The Complete Value Investing Course: A Proven Approach,All Levels,Business Finance,2146,Udemy,
FOREX Trading with Price Action,Beginner Level,Business Finance,484,Udemy,
Emini ES Futures - Advanced Non Directional Options Trading,All Levels,Business Finance,1057,Udemy,
Forex Trading - Advanced Fundamental Analysis,Intermediate Level,Business Finance,1754,Udemy,
How To Invest With Tiny Capital In Stocks ?,Beginner Level,Business Finance,1239,Udemy,
Learn How To Successfully Trade Stocks: In 5 Simple Steps,All Levels,Business Finance,2493,Udemy,
Test your knowledge in Basics of Accounting,Beginner Level,Business Finance,1000,Udemy,
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Beginner Level,Business Finance,2602,Udemy,
Test your Knowledge in Cost Accounting,All Levels,Business Finance,999,Udemy,
Intermediate Options trading concepts for Stocks and Options,All Levels,Business Finance,2000,Udemy,
Options Trading 101: The Basics,Beginner Level,Business Finance,1514,Udemy,
Practical Accounts APP Overview,Intermediate Level,Business Finance,1361,Udemy,
Bitcoin Profits for Beginners,Beginner Level,Business Finance,61,Udemy,
Trend Traders Club: How To Find And Trade Fast Moving Trends,All Levels,Business Finance,1513,Udemy,
Financial Statements Basics,Beginner Level,Business Finance,1374,Udemy,
High performance Stock Trading using key Options techniques,All Levels,Business Finance,2103,Udemy,
Introduction to Financial Statement Analysis,Beginner Level,Business Finance,1480,Udemy,
Basics of Economics (College Level),All Levels,Business Finance,2516,Udemy,
Stock Market Investing for Beginners,Beginner Level,Business Finance,50855,Udemy,
Accounting for Beginners : Learn Basics in under 1 Hour,Beginner Level,Business Finance,1971,Udemy,
Straddle Options Trading - Profit in Any Market Direction,All Levels,Business Finance,837,Udemy,
Fundamentals of Forex Trading,All Levels,Business Finance,17160,Udemy,
"Binary Options: Trading Strategies, 90% Accuracy and Signals",Beginner Level,Business Finance,1723,Udemy,
Website Investing 101 - Buying & Selling Online Businesses,All Levels,Business Finance,6811,Udemy,
Practical Accounts & Bookkeeping Automated Overview ,All Levels,Business Finance,2060,Udemy,
Live Account - ETF Trading System - Hacking The Stock Market,All Levels,Business Finance,2318,Udemy,
Stock Market Leverage: How to Start Trading Options Wisely,Beginner Level,Business Finance,2153,Udemy,
Stock Market Foundations,Beginner Level,Business Finance,19339,Udemy,
Crash Course on Working Capital Management,All Levels,Business Finance,3177,Udemy,
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,All Levels,Business Finance,1535,Udemy,
61% Profit In 1 Month - Crush Your Forex Trading Paradigm,All Levels,Business Finance,1027,Udemy,
How to create a routine Trading,All Levels,Business Finance,307,Udemy,
"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",All Levels,Business Finance,2096,Udemy,
Forex SOS Course: Trading Tweaks And Working Forex Strategy,Beginner Level,Business Finance,1315,Udemy,
Introduction to Financial Modeling,Intermediate Level,Business Finance,29167,Udemy,
Quantitative Aptitude for Banking & Competitive Examinations,All Levels,Business Finance,1056,Udemy,
Option Spreads and Credit Spreads Bundle,Expert Level,Business Finance,2212,Udemy,
